material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
0,4.0,15.0,48.0,10.0,1.0,64.491,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,93.966,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,80.91,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,43.323,40.0,28.0,231.53262,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,72.601,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,54.797,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,26.706,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,24.0,10.0,1.0,43.323,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,30.0,10.0,1.0,26.706,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,15.0,48.0,10.0,1.0,5.9347,40.0,28.0,107.8682,1.6,1.29,1.93,1.304,0.8
18,4.0,25.0,24.0,22.0,15.0,84.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
18,4.0,25.0,24.0,22.0,15.0,72.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
18,4.0,25.0,24.0,22.0,15.0,56.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
18,4.0,25.0,24.0,24.0,11.0,87.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
18,4.0,25.0,24.0,24.0,11.0,79.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
18,4.0,25.0,24.0,24.0,11.0,65.0,22.0,6.0,107.8682,0.943,0.943,2.75,0.901,
0,4.0,32.0,24.0,21.0,15.0,84.91,17.0,66.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,82.481,17.0,66.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,77.621,17.0,66.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,27.621,17.0,66.0,107.8682,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,86.189,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,85.55,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,84.655,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,8.0563,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,102.89,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,95.921,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,75.395,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,24.0,21.0,15.0,17.895,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,102.89,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,77.632,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,32.763,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
0,4.0,32.0,48.0,21.0,15.0,5.3947,17.0,66.0,79.86581,1.6,1.29,1.93,1.304,0.8
34,4.0,32.0,6.0,22.0,15.0,99.883,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,22.0,15.0,98.659,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,22.0,15.0,96.91,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,22.0,15.0,95.335,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,22.0,15.0,93.061,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,22.0,15.0,98.659,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,22.0,15.0,99.883,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,22.0,15.0,88.338,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,22.0,15.0,83.44,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,22.0,15.0,80.466,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,22.0,15.0,97.609,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,22.0,15.0,96.385,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,22.0,15.0,85.015,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,22.0,15.0,74.169,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,22.0,15.0,68.222,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,24.0,11.0,98.754,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,24.0,11.0,99.344,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,24.0,11.0,92.262,50.0,5.0,79.86581,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,24.0,11.0,91.672,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,6.0,24.0,11.0,90.295,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,24.0,11.0,97.574,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,24.0,11.0,93.836,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,24.0,11.0,88.328,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,24.0,11.0,85.377,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,24.0,24.0,11.0,77.508,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,24.0,11.0,97.574,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
34,4.0,32.0,48.0,24.0,11.0,93.049,50.0,5.0,196.966569,0.867,0.867,2.807,0.999,-0.293
